# Fermi-LAT gammma ray observation of galactic SN
# m_a [eV]  g_ap [GeV^-1]
1e-20	 1.8478110589944615e-13
1e-13	 1.8478110589944615e-13
1e-10	 1.8478110589944615e-13
1.4897127334769501e-10	 1.8483147219074573e-13
2.2883404586963434e-10	 1.8488572816540123e-13
3.5151086093523104e-10	 1.849400000665161e-13
5.567656543431281e-10	 1.9547852232716616e-13
7.336900844754251e-10	 2.0986993123435006e-13
9.66836111133051e-10	 2.3070542301675306e-13
1.162107591444503e-9	 2.5359347349682347e-13
1.4851522312429896e-9	 2.876813872956841e-13
1.8406873456093224e-9	 3.2634454056604914e-13
2.212450190034395e-9	 3.820384269244509e-13
2.659297818860617e-9	 4.4025078367067143e-13
3.0527207865330385e-9	 5.113265855112837e-13
3.5043477020274804e-9	 6.1287488296897e-13
4.212119324768191e-9	 7.174679735253089e-13
4.689269500048186e-9	 8.267474186637014e-13
5.220471394241027e-9	 9.231408338541065e-13
5.992800591070612e-9	 1.0806498591494698e-12
7.093580680510996e-9	 1.285135001633242e-12
8.2688175382716e-9	 1.5044243142999596e-12
9.938867118061683e-9	 1.7611690315552443e-12
1.1585499966493562e-8	 2.0616865226583893e-12
1.3504940540929496e-8	 2.432557008789249e-12
1.5742386564370287e-8	 2.8701422529453056e-12
1.89218697184048e-8	 3.4674430134693762e-12
2.531990375928319e-8	 4.677462954366877e-12
3.090390183209745e-8	 5.650941598525795e-12
4.072429067587234e-8	 7.386557403520614e-12
5.8835639646962235e-8	 1.0283502946895845e-11
1.0216941470537836e-7	 1.7709340848301726e-11
1.774194920608557e-7	 3.147305715513564e-11
3.760391156295727e-7	 6.599780872020395e-11
5.688442103229452e-7	 9.188448231648076e-11
