# X-ray decaying dark matter search (bound on DM lifetime interpreted as ALP)
# https://arxiv.org/pdf/2102.02207.pdf
# mass [eV] g_agamma [GeV^-1]
4959.605356956525	 1.0176150087762563e-17
4997.495854596709	 5.363822057529495e-18
5014.511024448534	 5.0448341218234174e-18
5023.297962909327	 4.712602528566644e-18
5053.004858869964	 4.4633155686704844e-18
5085.397281023941	 4.22813424866264e-18
5128.538058231661	 1.9704638388863728e-17
5252.723402374087	 1.9704638388863728e-17
5301.19299986513	 3.8825908762479565e-18
5324.64544587724	 3.704838298482239e-18
5347.29955282763	 3.531630649858043e-18
5384.693266641314	 3.4565584617943786e-18
5401.308645388743	 3.636335672681101e-18
5410.7357411298235	 3.845329441158591e-18
5434.657483276997	 3.9795853699076556e-18
5474.3521490364765	 4.0869002407118135e-18
5522.878770285986	 3.994016496916145e-18
5559.475628326878	 3.820863320057023e-18
5587.627216060142	 3.646944317296759e-18
5608.472616975676	 3.505729626398338e-18
5630.546181121585	 3.361278399847525e-18
5650.234987497404	 3.208544857244153e-18
5667.974752225022	 3.0688507097642074e-18
5688.657733003205	 2.877022439764729e-18
5702.313622864744	 2.7736830265934902e-18
5707.369422799304	 2.614703751568952e-18
5718.093601731194	 2.4619884551342755e-18
5729.312563468971	 2.325451430665046e-18
5737.645203881398	 2.2073598818677025e-18
5747.774213131902	 2.0758532929490936e-18
5755.494731989507	 1.9497555248510036e-18
5762.372248307745	 1.8404486359142725e-18
5799.7884361960605	 1.7574955914616377e-18
5853.07356818054	 1.7353854902299143e-18
5906.256218384707	 1.737269692669588e-18
5959.417293477229	 1.7441959546420687e-18
6000.719473609797	 1.6979741005345472e-18
6040.527240149853	 1.6271467505256066e-18
6083.054369720124	 1.6683951628672642e-18
6106.543073905969	 1.7651408658552515e-18
6116.032208794969	 1.8750974775024938e-18
6125.25270357856	 1.991903659446843e-18
6138.426482601334	 2.011149211161154e-17
6279.220664181213	 1.9974949272465644e-17
6327.160640857726	 2.2290308532741613e-18
6332.748508087985	 2.1106255406811783e-18
6354.130365164936	 1.9928946139538324e-18
6357.800887218676	 1.876963630507222e-18
6368.90039122334	 1.780761367562175e-18
6377.930972049853	 1.6887097783945019e-18
6393.169117029887	 1.6034659782573557e-18
6403.929318692826	 1.5556588587689132e-18
6431.036612500931	 1.4902395261623055e-18
6455.721306674026	 1.5210094132843005e-18
6463.652093169851	 1.5802234083594632e-18
6484.084133246591	 1.6623997499056264e-18
6500.9787941088625	 1.748166209733523e-18
6510.408697503981	 1.805631613106852e-18
6540.232034261306	 2.0105940992755674e-18
6561.813888128387	 2.134719805368847e-18
6583.72618580611	 2.2477980456224334e-18
6603.088403745281	 2.3480315138079056e-18
6636.219780882124	 2.4681186392651712e-18
6681.865300677666	 2.5666782694277407e-18
6734.915803323009	 2.615413194307772e-18
6785.84655124926	 2.5606506056597505e-18
6824.583701032679	 2.4274222497836266e-18
6842.1614694197815	 2.3291720593337917e-18
6861.852129906758	 2.22278368478008e-18
6879.128119630312	 2.120375735971482e-18
6893.988202516341	 2.0221829731247e-18
6906.423108009058	 1.930456770076278e-18
6920.297094600545	 1.8039841564275367e-18
6941.740688212314	 1.7036942581581572e-18
6956.070907332152	 1.6231822140472143e-18
6973.331799293428	 1.5515377451091424e-18
6988.512555118604	 1.4846018423148151e-18
7013.91087607478	 1.4151471942799554e-18
7056.576445944772	 1.3493892214094309e-18
7093.188254596263	 1.2883029811545382e-18
7137.0367794902195	 1.2327181528096761e-18
